Latitude,Longitude,Organisation Legal Name,Activity Id,Activity/Program Name,Location Name,Location Full Address
-27.46141975,153.0381955,139 Club Inc Welfare Centre,4-YDLIXC,Financial Crisis and Material Aid - Emergency Relief,139 Club Inc,"Lot 5, 505 Brunswick Street FORTITUDE VALLEY QLD 4006"
-34.92583,138.5947936,ABORIGINAL FAMILY SUPPORT SERVICES INC,4-1C3JB0A,Financial Crisis and Material Aid - Emergency Relief,Aboriginal Family Support Services Inc,"134 Waymouth Street, ADELAIDE SA 5000"
-27.5794776,153.0197921,ACACIA RIDGE COMMUNITY SUPPORT INC,4-YDVR6X,Financial Crisis and Material Aid - Emergency Relief,Acacia Ridge Community Support Incorporated,"21 Hanify Street, ACACIA RIDGE QLD 4110"
-34.37335173,150.8959676,ACCESS COMMUNITY GROUP,4-XTQ9TV,Community Development and Participation Grants,Access Community Group,"Suites 1-4, 87 Railway Street, CORRIMAL NSW 2518"
-27.64163628,153.1104267,ACCESS COMMUNITY SERVICES LIMITED,4-XSLFH7,Diversity and Social Cohesion,ACCESS Community Services Limited,"92 Wembley Road, LOGAN CENTRAL QLD 4114"
-27.6053033,152.897293,ACCESS COMMUNITY SERVICES LIMITED,4-YZ7H98,Settlement Grants,Goodna Office,"Lot 1, 9 Lower William St GOODNA QLD 4300"
-27.64037897,153.1069844,ACCESS COMMUNITY SERVICES LIMITED,4-YZ7H98,Settlement Grants,Logan Office,6/2 Ewing Road Logan Central QLD 4114
-27.63802711,153.1049903,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Community Centre Logan Central,"Lot 41, 31 Station Road LOGAN CENTRAL QLD 4114"
-34.79201489,138.6433678,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Community Centre Parafield,1A-2D Lawrence Hargrave Way PARAFIELD SA 5106
-34.9295035,138.6038768,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Adelaide City,82 Angas St Adelaide SA 5000
-27.57371685,153.0918177,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Eight Mile Plains,"Lot 1, 15 London Street EIGHT MILE PLAINS QLD 4113"
-37.8916598,145.307473,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Ferntree Gully,3 Railway Avenue UPPER FERNTREE GULLY VIC 3156
-32.52108272,115.7315999,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Mandurah,116 Anstruther Rd MANDURAH WA 6210
-34.9781648,138.5794351,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Melrose Park,123 Edward st Melrose Park SA 5039
-37.60347096,140.3580167,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Millicent,15 Williams Rd Millicent SA 5280
-35.10484625,138.5428462,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Morphett Vale,130 Pimpala Rd Morphett Vale SA 5162
-35.06715455,138.8595676,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Mount Barker,8 Shoebridge Lane MOUNT BARKER SA 5251
-37.81084761,140.7678017,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Mt Gambier,63 Suttontown Road MOUNT GAMBIER SA 5290
-37.00151744,140.8265458,ADRA Adventist Development and Relief Agency,4-YE9873,Financial Crisis and Material Aid - Emergency Relief,ADRA Emergency Relief Naracoorte,205 Hynam Caves Road MOUNT LIGHT SA 5271
-37.81252816,144.9733347,ADULT MULTICULTURAL EDUCATION SERVICES,4-102PR7F,Volunteer Management Program,Adult Multicultural Education Services,"Level 4, 1 Little Collins St, MELBOURNE VIC 3000"
-31.95762704,115.9296558,ADVOCARE INCORPORATED,4-YZ9WRQ,Promote Healthy and Active Ageing,Advocare Inc,"Unit 1, 190 Abernethy Road, BELMONT WA 6104"
-34.92368225,138.5992022,African Communities Council of South Australia,4-YTDW2Y,Settlement Grants,ACC MAIN OFFICE,59 King William St ADELAIDE SA 5000
-34.9244625,138.5473773,AFRICAN WOMEN'S FEDERATION SA,4-YTFW1L,Settlement Grants,African Womens Federation SA Inc,"304 Henley Beach Rd, UNDERDALE SA 5032"
-16.91304588,145.7635216,Aftercare,4-YUS7SD,"Community Mental Health, Early Intervention for Children, Young People and their Families",Cairns South,Top Floor 208 McLeod Street CAIRNS QLD 4870
-33.8308762,151.0877019,AGED & COMMUNITY SERVICES NSW & ACT,4-YZJCVV,Capacity Building within Aged Care Services for the Delivery of High Quality Care,Aged & Community Services Association of NSW & ACT Incorporated,"Level 3, 9 Blaxland Road, RHODES NSW 2138"
-34.9511595,138.6329901,AGED AND COMMUNITY SERVICES SA &NT INC,4-YZJD6L,Capacity Building within Aged Care Services for the Delivery of High Quality Care,Aged and Community Services SA & NT,"246 Glen Osmond Rd, FULLARTON SA 5063"
-34.92303208,138.5767271,AGED CARE & HOUSING GROUP INC,4-YZJDNG,Existing and Emerging Challenges including Dementia Care,Aged Care and Housing Group Incorporated,"22 Henley Beach Road, MILE END SA 5031"
-34.92303208,138.5767271,AGED CARE & HOUSING GROUP INC,4-YZLNWI,Capacity Building within Aged Care Services for the Delivery of High Quality Care,Aged Care and Housing Group Incorporated,"22 Henley Beach Road, MILE END SA 5031"
-34.92303208,138.5767271,AGED CARE & HOUSING GROUP INC,4-YZOV9Z,Support for Older Persons with Diverse Needs,Aged Care and Housing Group Incorporated,"22 Henley Beach Road, MILE END SA 5031"
-33.33804,115.641945,AGENCIES FOR SOUTH WEST ACCOMMODATION INC,4-YGYIAR,Commonwealth Financial Counselling and Financial Capability,Agencies for South West Accommodation Inc,"26-28 Forrest Avenue, SOUTH BUNBURY WA 6230"
-33.33804,115.641945,AGENCIES FOR SOUTH WEST ACCOMMODATION INC,4-YQWMHX,Financial Crisis and Material Aid - Emergency Relief,Agencies for South West Accommodation Inc,"26-28 Forrest Avenue, SOUTH BUNBURY WA 6230"
